Meta information
Meta Platforms Ireland Limited,Merrion Road,Dublin 4,D04 X2K5,Ireland,VAT Reg. No. IE9692928F

Advertiser Information
Account: 886955422977935,Business: D.A. VENUS INVESTMENTS LTD,7 ימימה,"ירושלים,  9675783",Israel

Billing Report: 1/1/2025 - 1/1/2026

Meta Ads payment
Payment Method: Visa ···· 4176
Date,Transaction ID,Amount,Currency
4/11/2025,9775764735870115-9575929825853616,"2,000.00",USD
4/9/2025,9639817369464854-9479632932149972,"2,000.00",USD
4/7/2025,9749202231859699-9449424525170809,"2,000.00",USD
4/5/2025,9433110460135549-9540942342685694,"2,000.00",USD
4/2/2025,9522868401159755-9415153688597893,"2,000.00",USD
3/31/2025,9413543268758939-9413543285425604,"2,000.00",USD
3/28/2025,9359204777526121-9359204794192786,865.15,USD
3/26/2025,9495759680537292-9420930174686913,"2,000.00",USD
3/22/2025,9357008961079037-9639072812872642,"2,000.00",USD
3/17/2025,9291428000970466-9417458568367406,"2,000.00",USD
3/11/2025,9381901755256421-9381901771923086,"2,000.00",USD
3/6/2025,9256874117759189-9347344362045494,"2,000.00",USD
2/28/2025,9218553301591271-9183307285115872,422.91,USD
2/26/2025,9316680728445189-9487291264717465,"2,000.00",USD
2/19/2025,9166061316840470-9130712043708730,"2,000.00",USD
2/15/2025,9216946238418645-9298066140306647,"2,000.00",USD
2/12/2025,9224624120984184-9079794205467181,"2,000.00",USD
2/7/2025,9248005001979428-9367423966704196,"2,000.00",USD
2/3/2025,9174602519319678-9065419570237979,"2,000.00",USD
1/31/2025,9137304339716165-9208859682560627,"2,000.00",USD
1/28/2025,9311747092271884-9111092445670692,452.82,USD
1/27/2025,9136405083139422-9306932696086657,"2,000.00",USD
1/24/2025,9045398192240115-9089003451212925,"2,000.00",USD
1/20/2025,9149505308496063-9269707219809205,"2,000.00",USD
1/16/2025,8967980796648524-9128963723883557,"2,000.00",USD
1/13/2025,9110144805765449-9057784517668146,"2,000.00",USD
1/10/2025,9019695911477009-8930931443686793,"2,000.00",USD
1/5/2025,8909708232475781-8874674132645857,"2,000.00",USD
1/1/2025,8886566434789961-8964399273673344,"2,000.00",USD
,Total Amount Billed,"234,554.01",USD

Meta Ads payment
Payment Method: Ad Credit
Date,Transaction ID,Amount,Currency
12/24/2025,25591827717170565-25522216450798362,34.80,USD
12/24/2025,25521495207537153-25572898159063527,47.80,USD
11/4/2025,25026800383673309-25148788024807872,0.98,USD
10/19/2025,24982715268081816-25020862920933714,0.05,USD
1/23/2025,9164017193711541-9165388006907795,0.01,USD
1/18/2025,9084569524989645-9010922445687690,0.18,USD
1/16/2025,8928886817224588-8947455132034420,0.01,USD
,Total Amount Billed,83.83,USD

VAT Rate: 0%
VAT Amount: 0.00
